name	N	ws	avg	std	rel_std	minv	maxv	amp
numpy_swsd	100	3	0.22620628419099376	0.002703940355265327	1.1953427222129236	0.22282369999447837	0.22952408899436705	0.006700388999888673
numpy_swsd	100	5	0.23595424719387664	0.01883189017948115	7.9811617732854545	0.22402561298804358	0.2733849659853149	0.049359352997271344
numpy_swsd	100	7	0.2250405963975936	0.002214000509036615	0.983822716646644	0.22262860697810538	0.227669940009946	0.005041333031840622
numpy_swsd	100	9	0.2268746387970168	0.0015049779442514234	0.6633522161099359	0.22505504300352186	0.2296432289876975	0.004588185984175652
numpy_swsd	200	3	0.9031361481989734	0.005991625609182201	0.663424404075803	0.8954978770052548	0.9107544400030747	0.015256562997819856
numpy_swsd	200	5	0.9017105194041506	0.005559119058034526	0.6165081740099901	0.8948977529944386	0.9089092170179356	0.014011464023496956
numpy_swsd	200	7	0.9041947120043915	0.003861363365815678	0.42704998321168286	0.8992230909934733	0.9101676929858513	0.010944601992378011
numpy_swsd	200	9	0.9051974813919514	0.0020808616202289713	0.22987929849618705	0.9025943549931981	0.9074761270021554	0.004881772008957341
numpy_swsd	300	3	2.027260557201225	0.005769805541169201	0.28461095051022056	2.019432066997979	2.032490339013748	0.013058272015769035
numpy_swsd	300	5	2.0259393128042573	0.0056995661309714365	0.281329558834723	2.01740857900586	2.0334900529996958	0.01608147399383597
numpy_swsd	300	7	2.038478264200967	0.009436124308783581	0.462900413239496	2.0279451629903633	2.0552943510119803	0.02734918802161701
numpy_swsd	300	9	2.02420550280367	0.008214559543701358	0.4058164811983568	2.012177030002931	2.0373358000069857	0.02515877000405453
numpy_swsd	400	3	3.6100059155956843	0.00883969007019491	0.24486635969227433	3.596655567002017	3.6228241339849774	0.02616856698296033
numpy_swsd	400	5	3.6497280540002977	0.07352787681318357	2.0146124786638024	3.5993123119988013	3.7951704680162948	0.19585815601749346
numpy_swsd	400	7	3.6173050548008177	0.01719479382185638	0.47534818217876823	3.5952728020201903	3.6405637159768958	0.04529091395670548
numpy_swsd	400	9	3.7743635083956177	0.20700671753391678	5.484546389701342	3.610466315993108	4.140247633011313	0.5297813170182053
numpy_swsd	800	3	14.652149138401729	0.20341323065563144	1.3882825566012493	14.493741197016789	15.047017078992212	0.5532758819754235
numpy_swsd	800	5	15.548143750801682	0.3507674987746807	2.2560088483655467	14.961434488999657	15.949478205991909	0.9880437169922516
numpy_swsd	800	7	16.071303660195554	0.7987408242863682	4.969981534632077	15.205822821997572	17.34946778800804	2.14364496601047
numpy_swsd	800	9	15.672906596201937	0.33739414466931333	2.152722231823133	15.285331992985448	16.236316146998433	0.9509841540129855
numpy_swsd	1600	3	60.83447694319766	0.9816119765613305	1.6135783948268034	59.674787953990744	62.59450386100798	2.9197159070172347
numpy_swsd	1600	5	58.77176580899395	1.3013701599276701	2.21427779481235	57.58039742297842	61.11316536201048	3.5327679390320554
numpy_swsd	1600	7	58.21558025200502	0.2443845824300199	0.41979240157380887	57.86473355500493	58.48076518799644	0.6160316329915076
numpy_swsd	1600	9	58.651068321993804	0.33974327570301355	0.5792618709651224	58.29017659899546	59.08851675098413	0.7983401519886684
didactic_swsd	100	3	0.19490750060067513	0.001293539723952656	0.6636685196650536	0.19313973098178394	0.19692583399591967	0.0037861030141357332
didactic_swsd	100	5	0.19533982539433054	0.000927430085555962	0.47477777953562117	0.19406650398741476	0.196556012990186	0.0024895090027712286
didactic_swsd	100	7	0.19586807459709235	0.0008480187818166489	0.43295406030873274	0.19493090399191715	0.19734537799376994	0.0024144740018527955
didactic_swsd	100	9	0.19535232140333392	0.0015216854489630061	0.7789441343884828	0.19331532600335777	0.19679977500345558	0.0034844490000978112
didactic_swsd	200	3	0.7832941492029931	0.003169295016364489	0.40461109272797036	0.7796944229921792	0.7883878050197382	0.008693382027558982
didactic_swsd	200	5	0.789472938614199	0.003818311419307653	0.4836532365517334	0.7847760110162199	0.7961796590243466	0.011403648008126765
didactic_swsd	200	7	0.7905414001957979	0.004028739677674668	0.5096177982173795	0.7849639409978408	0.796538120979676	0.011574179981835186
didactic_swsd	200	9	0.7919020086061209	0.0031894391770459296	0.40275679849074664	0.788889724004548	0.7964935229974799	0.007603798992931843
didactic_swsd	300	3	1.779242954601068	0.001719988330213137	0.09666967210775232	1.7769897319958545	1.7817823920049705	0.004792660009115934
didactic_swsd	300	5	1.769704737997381	0.01086456147238935	0.6139194431204279	1.7573013509972952	1.7847380320017692	0.02743668100447394
didactic_swsd	300	7	1.7912712023942732	0.014206270592151916	0.7930831787594942	1.767489318997832	1.808083442010684	0.040594123012851924
didactic_swsd	300	9	1.782801408600062	0.013081031409989724	0.7337346351022661	1.7731915589829441	1.8083805839996785	0.03518902501673438
didactic_swsd	400	3	3.350678280799184	0.056480802623536525	1.6856528108710294	3.2556786260101944	3.4251100519904867	0.16943142598029226
didactic_swsd	400	5	3.155088990397053	0.00930200147549912	0.2948253283444949	3.1434162450022995	3.163975049974397	0.020558804972097278
didactic_swsd	400	7	3.1785220994031986	0.02555015716435682	0.8038376442043342	3.145934403000865	3.2136992110172287	0.06776480801636353
didactic_swsd	400	9	3.1546723647916224	0.018918654568286772	0.5997026752899083	3.122485580999637	3.177551588974893	0.05506600797525607
didactic_swsd	800	3	12.738226521003526	0.119960138357577	0.9417334364385794	12.615780977008399	12.943300484999781	0.32751950799138285
didactic_swsd	800	5	14.575524449592923	2.076220194592345	14.244565962429787	12.81958858598955	17.743696616991656	4.924108031002106
